velocity,throttle
-61.97,0.931
-61.71,0.931
-61.2,0.93
-60.94,0.93
-60.67,0.93
-60.42,0.93
-60.16,0.93
-59.89,0.93
-59.63,0.93
-59.37,0.93
-59.11,0.93
-58.85,0.929
-58.59,0.929
-58.07,0.929
-57.81,0.929
-57.55,0.929
-57.29,0.929
-57.04,0.929
-56.77,0.928
-56.25,0.928
-55.99,0.928
-55.73,0.928
-55.47,0.928
-55.21,0.928
-54.95,0.928
-54.69,0.927
-54.17,0.927
-53.91,0.927
-53.65,0.927
-53.39,0.927
-53.13,0.927
-52.87,0.927
-52.61,0.926
-52.35,0.926
-52.09,0.926
-51.83,0.926
-51.57,0.926
-51.31,0.926
-51.05,0.926
-50.79,0.926
-50.53,0.925
-50.27,0.925
-50.01,0.925
-49.75,0.925
-49.49,0.925
-49.23,0.925
-48.97,0.925
-48.71,0.925
-48.45,0.924
-47.93,0.924
-47.67,0.924
-47.41,0.924
-47.15,0.924
-46.89,0.924
-46.37,0.924
-46.11,0.923
-45.85,0.923
-45.59,0.923
-45.33,0.923
-45.07,0.923
-44.81,0.923
-44.55,0.923
-44.29,0.923
-43.77,0.922
-43.51,0.922
-43.25,0.922
-42.99,0.922
-42.73,0.922
-42.48,0.922
-42.21,0.922
-41.95,0.921
-41.69,0.921
-41.43,0.921
-41.17,0.921
-40.91,0.921
-40.39,0.921
-40.13,0.921
-39.87,0.92
-39.61,0.92
-39.35,0.92
-39.09,0.92
-38.83,0.92
-38.57,0.92
-38.31,0.92
-38.05,0.92
-37.79,0.92
-37.53,0.919
-37.27,0.919
-37.01,0.919
-36.75,0.919
-36.49,0.919
-36.23,0.919
-35.97,0.919
-35.71,0.919
-35.19,0.918
-34.93,0.918
-34.67,0.918
-34.41,0.918
-34.15,0.918
-33.89,0.918
-33.37,0.917
-33.11,0.917
-32.85,0.917
-32.59,0.917
-32.07,0.917
-31.81,0.917
-31.55,0.917
-31.03,0.916
-30.77,0.916
-30.51,0.916
-30.25,0.916
-29.99,0.916
-29.47,0.916
-29.21,0.916
-28.69,0.915
-28.43,0.915
-28.17,0.915
-27.91,0.915
-27.65,0.915
-27.13,0.915
-26.87,0.914
-26.61,0.914
-26.35,0.914
-26.09,0.914
-25.83,0.914
-25.57,0.914
-25.31,0.914
-24.79,0.913
-24.53,0.913
-24.27,0.913
-24.01,0.913
-23.49,0.913
-23.23,0.913
-22.97,0.913
-22.71,0.912
-22.45,0.912
-22.19,0.912
-21.93,0.912
-21.67,0.912
-21.41,0.912
-20.89,0.912
-20.63,0.912
-20.37,0.911
-20.11,0.911
-19.85,0.911
-15.61,0.756
